Treatments,Time,CA,BT,BU,BV,CS,CD,DP,CH
BV-CA-MS008-CH,0,0.0025,0,0,0.0025,0,0.0025,0,0.0025
BU-MS008-CH-CS,0,0,0,0.0025,0,0.0025,0.0025,0,0.0025
CA-MS008-CH-CS,0,0.0025,0,0,0,0.0025,0.0025,0,0.0025
BU-CA-MS008-CS,0,0.0025,0,0.0025,0,0.0025,0.0025,0,0
BV-CA-MS008-CH-CS,0,0.002,0,0,0.002,0.002,0.002,0,0.002
BU-BV-CA-MS008-CS,0,0.002,0,0.002,0.002,0.002,0.002,0,0
BU-CA-MS008-CH-CS,0,0.002,0,0.002,0,0.002,0.002,0,0.002
BU-MS008-CH-CS-DP,0,0,0,0.002,0,0.002,0.002,0.002,0.002
CA-MS008-CH-CS-DP,0,0.002,0,0,0,0.002,0.002,0.002,0.002
BU-CA-MS008-CS-DP,0,0.002,0,0.002,0,0.002,0.002,0.002,0
BT-BU-CA-MS008-CH-CS,0,0.001666667,0.001666667,0.001666667,0,0.001666667,0.001666667,0,0.001666667
BU-BV-CA-MS008-CH-CS,0,0.001666667,0,0.001666667,0.001666667,0.001666667,0.001666667,0,0.001666667
BU-BV-MS008-CH-CS-DP,0,0,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
BU-BV-CA-MS008-CH-DP,0,0.001666667,0,0.001666667,0.001666667,0,0.001666667,0.001666667,0.001666667
BV-CA-MS008-CH-CS-DP,0,0.001666667,0,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
BU-CA-MS008-CH-CS-DP,0,0.001666667,0,0.001666667,0,0.001666667,0.001666667,0.001666667,0.001666667
BV-CA-MS008-CH,12,0.00540144,0,0,0.402661676,0,0.265441009,0,0.07332921
BU-MS008-CH-CS,12,0,0,0.379018648,0,0.037043582,0.351676336,0,0.014261459
CA-MS008-CH-CS,12,0.004737656,0,0,0,0.033227255,0.233387408,0,0.01481435
BU-CA-MS008-CS,12,0.007779763,0,0.560364744,0,0.055863503,0.4694087,0,0
BV-CA-MS008-CH-CS,12,0.004002931,0,0,0.225694287,0.076735585,0.525265915,0,0.086134605
BU-BV-CA-MS008-CS,12,0.005444428,0,0.53973646,0.305210218,0.042188757,0.325920126,0,0
BU-CA-MS008-CH-CS,12,0.003723549,0,0.431386407,0,0.049845203,0.372192653,0,0.025518845
BU-MS008-CH-CS-DP,12,0,0,0.513038105,0,0.016580739,0.316898661,0.16466858,0.019313899
CA-MS008-CH-CS-DP,12,0.000983488,0,0,0,0.009225315,0.123385993,0.080938528,0.009633351
BU-CA-MS008-CS-DP,12,0.003534315,0,0.349910878,0,0.013291224,0.412464898,0.056298723,0
BT-BU-CA-MS008-CH-CS,12,0.002351274,1.089964092,0.451911507,0,0.028827493,0.226798307,0,0.040147332
BU-BV-CA-MS008-CH-CS,12,0.008463583,0,0.801336868,0.132820671,0.056369977,0.424415918,0,0.043926319
BU-BV-MS008-CH-CS-DP,12,0,0,0.66871774,0.129666516,0.020658474,0.371862842,0.066204528,0.051223227
BU-BV-CA-MS008-CH-DP,12,0.002578102,0,0.644231544,0.258417489,0,0.261645351,0.034682331,0.023111818
BV-CA-MS008-CH-CS-DP,12,0.004187797,0,0,0.251171509,0.022941998,0.217562012,0.060772233,0.099531123
BU-CA-MS008-CH-CS-DP,12,0.003268924,0,0.389497257,0,0.014183074,0.347125561,0.097566994,0.023024861
BV-CA-MS008-CH,24,0.189032764,0,0,0.44960069,0,0.407677347,0,0.169855814
BU-MS008-CH-CS,24,0,0,0.410425901,0,0.121590925,0.559674253,0,0.041975556
CA-MS008-CH-CS,24,0.021173751,0,0,0,0.044954216,0.396481809,0,0.012723532
BU-CA-MS008-CS,24,0.014591936,0,0.401832289,0,0.069066085,0.762009697,0,0
BV-CA-MS008-CH-CS,24,0.071144951,0,0,0.186702414,0.180710534,0.633440416,0,0.157335016
BU-BV-CA-MS008-CS,24,0.027024444,0,0.318406234,0.033404276,0.063691093,0.89097395,0,0
BU-CA-MS008-CH-CS,24,0.017251335,0,0.428914733,0,0.136184174,0.580842019,0,0.042141011
BU-MS008-CH-CS-DP,24,0,0,0.441198401,0,0.056790689,0.491737761,0.459352316,0.058920828
CA-MS008-CH-CS-DP,24,0.004789849,0,0,0,0.034821971,0.25388498,0.15256947,0.007267063
BU-CA-MS008-CS-DP,24,0.025348805,0,0.332863203,0,0.115801213,0.707781034,0.259539089,0
BT-BU-CA-MS008-CH-CS,24,0.004108026,0.940326531,0.249233681,0,0.027267236,0.288013447,0,0.038717718
BU-BV-CA-MS008-CH-CS,24,0.019583384,0,0.396130095,0.02813065,0.050033455,0.455533558,0,0.032255528
BU-BV-MS008-CH-CS-DP,24,0,0,0.60933359,0.013039491,0.136339627,0.43505936,0.084486356,0.071074903
BU-BV-CA-MS008-CH-DP,24,0.008474374,0,0.767182729,0.044004203,0,0.507918174,0.120114351,0.083806142
BV-CA-MS008-CH-CS-DP,24,0.057813094,0,0,0.076455689,0.333459785,0.544550926,0.217089274,0.090631225
BU-CA-MS008-CH-CS-DP,24,0.007675444,0,0.42576751,0,0.07111172,0.474352406,0.437596055,0.045830167
